"","Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","TEAM","SALARY","EVAL"
"275","Nikola Pekovic",339,"C",30,"MIN",12,3,13,1.6,4.2,0.38,0,0,0.293816618911175,1.6,4.2,0.38,0.38,1.3,1.7,0.8,0.6,1.2,1.8,0.9,0.1,0,0.8,1.8,4.5,"Minnesota Timberwolves",12100000,3.9406
"363","Tyler Ennis",334,"PG",21,"MIL",46,7,14.2,1.8,4.1,0.449,0.3,0.8,0.333,1.5,3.2,0.48,0.484,0.5,0.7,0.735,0.3,1.3,1.6,2.1,0.5,0,1,1.4,4.5,"Milwaukee Bucks",1662360,5.98708
"175","Jonas Jerebko",342,"PF",28,"BOS",78,0,15.1,1.5,3.7,0.413,0.6,1.4,0.398,1,2.3,0.421,0.488,0.8,1,0.782,1,2.7,3.7,0.8,0.3,0.3,0.7,1.8,4.4,"Boston Celtics",5000000,6.588
"335","Steve Blake",340,"PG",35,"DET",58,2,17,1.6,4.1,0.388,0.9,2.6,0.344,0.7,1.5,0.461,0.496,0.3,0.3,0.8,0.2,1.4,1.5,3.4,0.4,0.1,1.4,1.2,4.4,"Detroit Pistons",2170465,6.5968
"51","C.J. Watson",346,"PG",31,"ORL",33,2,19.9,1.4,4.2,0.343,0.4,1.5,0.292,1,2.7,0.371,0.394,1,1.2,0.872,0.3,1.7,2,2.7,0.6,0.2,0.8,1.5,4.3,"Orlando Magic",5000000,5.6539
"156","Jeff Withey",347,"C",25,"UTA",51,10,12.9,1.7,3.2,0.537,0,0,0,1.7,3.1,0.544,0.537,0.8,1.2,0.729,1.1,2.3,3.4,0.4,0.4,1,0.5,1.5,4.3,"Utah Jazz",947276,7.68984
"164","Joakim Noah",344,"C",30,"CHI",29,2,21.9,1.8,4.6,0.383,0,0,0,1.8,4.6,0.386,0.383,0.8,1.6,0.489,3,5.8,8.8,3.8,0.6,1,1.8,2.7,4.3,"Chicago Bulls",13400000,9.17668
"345","Thomas Robinson",345,"PF",24,"BRK",71,7,12.9,1.8,4.1,0.447,0,0,0,1.8,4.1,0.448,0.447,0.7,1.5,0.431,1.9,3.1,5.1,0.6,0.5,0.5,1,1.6,4.3,"Brooklyn Nets",981348,6.68712
"44","Brandon Rush",352,"SG",30,"GSW",72,25,14.7,1.5,3.6,0.427,0.9,2.2,0.414,0.6,1.4,0.447,0.552,0.3,0.4,0.643,0.3,2.2,2.5,0.8,0.3,0.3,0.5,0.8,4.2,"Golden State Warriors",1270964,6.65712
"166","Joe Ingles",349,"SF",28,"UTA",81,2,15.3,1.5,3.6,0.426,1,2.6,0.386,0.5,1,0.531,0.565,0.2,0.2,0.722,0.2,1.6,1.9,1.2,0.7,0,0.8,1.2,4.2,"Utah Jazz",2050000,6.554
"318","Ryan Kelly",351,"PF",24,"LAL",36,0,13.1,1.5,4.1,0.369,0.1,1,0.135,1.4,3.1,0.446,0.386,1,1.5,0.685,0.6,2.8,3.4,0.6,0.4,0.3,0.5,1.1,4.2,"Los Angeles Lakers",1724250,5.03344
"329","Solomon Hill",348,"SF",24,"IND",59,3,14.7,1.6,3.5,0.447,0.4,1.3,0.324,1.2,2.3,0.515,0.505,0.6,0.7,0.857,0.7,2.2,2.8,1,0.6,0.2,0.6,1.2,4.2,"Indiana Pacers",1358880,6.5347
"369","Tyus Jones",350,"PG",19,"MIN",37,0,15.5,1.5,4.2,0.359,0.4,1.4,0.302,1.1,2.8,0.388,0.41,0.8,1.1,0.718,0.2,1.1,1.3,2.9,0.8,0.1,0.9,0.9,4.2,"Minnesota Timberwolves",1282080,5.5965
"58","Chase Budinger",354,"SF",27,"TOT",66,2,14.1,1.6,3.6,0.435,0.4,1.3,0.279,1.2,2.3,0.523,0.485,0.6,0.8,0.696,0.7,1.6,2.3,1,0.5,0.2,0.7,0.9,4.1,"Phoenix Suns",206192,5.7133
"172","John Jenkins",355,"SG",24,"TOT",43,3,11.2,1.7,3.7,0.444,0.4,1.2,0.314,1.3,2.5,0.505,0.494,0.5,0.6,0.833,0.2,1.1,1.3,0.8,0.2,0,0.6,0.5,4.1,"Phoenix Suns",981348,4.67324
"23","Anthony Brown",357,"SF",23,"LAL",29,11,20.7,1.3,4.3,0.31,0.7,2.4,0.286,0.7,1.9,0.339,0.389,0.6,0.7,0.85,0.3,2.1,2.4,0.7,0.5,0.2,0.5,1.2,4,"Los Angeles Lakers",700000,4.52407
"45","Brian Roberts",360,"PG",30,"TOT",51,0,9.2,1.5,3.2,0.448,0.3,0.8,0.357,1.2,2.4,0.48,0.494,0.8,0.9,0.894,0.1,0.7,0.8,1.1,0.2,0,0.5,0.7,4,"Charlotte Hornets",2854940,4.59914
"83","Darrun Hilliard",359,"SG",22,"DET",38,2,10.1,1.4,3.4,0.397,0.5,1.3,0.38,0.9,2.1,0.407,0.469,0.8,1.1,0.725,0.1,1.1,1.2,0.7,0.2,0,0.5,0.7,4,"Detroit Pistons",600000,4.31011
"280","Omer Asik",356,"C",29,"NOP",68,64,17.3,1.5,2.9,0.533,0,0,0.293816618911175,1.5,2.9,0.533,0.533,0.9,1.6,0.545,1.8,4.3,6.1,0.4,0.3,0.3,0.9,1.8,4,"New Orleans Pelicans",9213483,7.8351
"296","Rakeem Christmas",358,"PF",24,"IND",1,0,6,2,2,1,0,0,0.293816618911175,2,2,1,1,0,0,0.747632707774799,1,0,1,0,0,0,0,1,4,"Indiana Pacers",1007026,8.4
"59","Chris Andersen",361,"C",37,"TOT",27,15,14.9,1.4,2.7,0.528,0.1,0.5,0.286,1.3,2.1,0.586,0.556,0.9,1.3,0.694,1.3,2.3,3.6,0.4,0.6,0.5,0.3,1.1,3.9,"Memphis Grizzlies",5000000,7.5616
"206","Kevin Seraphin",362,"C",26,"NYK",48,0,11,1.8,4.3,0.41,0,0,0,1.8,4.2,0.414,0.41,0.4,0.5,0.826,0.6,2,2.6,1,0.2,0.8,0.9,1.4,3.9,"New York Knicks",2814000,4.9282
"87","Delon Wright",365,"PG",23,"TOR",27,1,8.5,1.3,3,0.45,0.2,0.5,0.385,1.1,2.5,0.463,0.481,1,1.3,0.743,0.3,1.1,1.4,1.1,0.3,0.1,0.6,0.3,3.8,"Toronto Raptors",1509360,4.75709
"168","Joe Young",366,"PG",23,"IND",41,0,9.4,1.5,4.1,0.367,0.2,1.1,0.217,1.3,3,0.423,0.396,0.5,0.6,0.8,0.1,1.1,1.2,1.6,0.4,0,0.8,0.7,3.8,"Indiana Pacers",1007026,3.97584
"189","Justin Anderson",363,"SF",22,"DAL",55,9,11.8,1.3,3.2,0.406,0.4,1.5,0.265,0.9,1.7,0.533,0.469,0.8,1,0.8,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8,"Dallas Mavericks",1449000,5.32315
"16","Andre Miller",372,"PG",39,"TOT",39,4,11.8,1.5,2.7,0.557,0.1,0.2,0.25,1.5,2.5,0.582,0.566,0.6,0.8,0.75,0.3,1,1.3,2.2,0.4,0,0.9,1.2,3.7,"San Antonio Spurs",250750,6.0562
"55","Caron Butler",367,"SF",35,"SAC",17,1,10.4,1.5,3.5,0.424,0.2,1.1,0.167,1.3,2.4,0.537,0.449,0.6,0.7,0.833,0.3,1,1.3,0.6,0.5,0.1,0.2,1.1,3.7,"Sacramento Kings",1449187,4.47204
"198","Kendall Marshall",370,"PG",24,"PHI",30,6,13.3,1.4,3.9,0.364,0.5,1.6,0.327,0.9,2.3,0.391,0.432,0.3,0.4,0.692,0.1,0.9,0.9,2.4,0.5,0.1,1.4,1,3.7,"Philadelphia 76ers",2144772,4.32864
"282","Orlando Johnson",368,"SG",26,"TOT",7,1,14.4,1.3,4.9,0.265,0.3,1.4,0.2,1,3.4,0.292,0.294,0.9,1.1,0.75,0.6,1.6,2.1,0.3,0.4,0.4,0.6,1.3,3.7,"Phoenix Suns",55722,2.9841
"325","Shabazz Napier",373,"PG",24,"ORL",55,0,10.9,1.2,3.7,0.338,0.6,1.9,0.327,0.6,1.8,0.351,0.423,0.6,0.8,0.733,0.2,0.8,1,1.8,0.4,0,0.8,0.7,3.7,"Orlando Magic",1294440,4.19616
"66","Christian Wood",380,"PF",20,"PHI",17,0,8.5,1.3,3.1,0.415,0.2,0.6,0.364,1.1,2.5,0.429,0.453,0.8,1.2,0.619,0.8,1.5,2.2,0.2,0.3,0.4,0.1,0.6,3.6,"Philadelphia 76ers",525093,4.81992
"185","Josh McRoberts",377,"PF",28,"MIA",42,1,14.2,1.3,3.5,0.372,0.3,1.2,0.245,1,2.4,0.434,0.412,0.7,1,0.7,0.5,2,2.5,1.9,0.4,0.2,0.7,1.6,3.6,"Miami Heat",5543725,5.05524
"263","Montrezl Harrell",376,"PF",22,"HOU",39,1,9.7,1.5,2.3,0.644,0,0,0,1.5,2.3,0.652,0.644,0.6,1.2,0.522,0.6,1,1.7,0.4,0.3,0.3,0.4,1.2,3.6,"Houston Rockets",1000000,6.1824
"277","Noah Vonleh",379,"PF",20,"POR",78,56,15.1,1.5,3.6,0.421,0.1,0.6,0.239,1.4,3,0.457,0.441,0.5,0.7,0.745,1.2,2.7,3.9,0.4,0.3,0.3,0.6,1.9,3.6,"Portland Trail Blazers",2637720,5.23908
"140","James Anderson",382,"SG",26,"SAC",51,15,14.1,1.3,3.5,0.376,0.5,1.7,0.267,0.9,1.8,0.478,0.441,0.4,0.6,0.759,0.3,1.4,1.7,0.8,0.4,0.3,0.8,1.1,3.5,"Sacramento Kings",1015421,4.1895
"177","Jordan Adams",381,"SG",21,"MEM",2,0,7.5,1,3,0.333,0,0.5,0,1,2.5,0.4,0.333,1.5,2.5,0.6,0,1,1,1.5,1.5,0,1,1,3.5,"Memphis Grizzlies",1404600,3.64635
"307","Robert Sacre",383,"C",26,"LAL",25,1,12.8,1.2,3,0.413,0,0,0.293816618911175,1.2,3,0.413,0.413,1,1.5,0.658,1.3,1.6,2.9,0.6,0.2,0.4,0.5,1.7,3.5,"Los Angeles Lakers",981348,4.53474
"73","Cristiano Felicio",385,"C",23,"CHI",31,4,10.4,1.3,2.3,0.556,0,0.1,0,1.3,2.2,0.588,0.556,0.8,1.1,0.714,1,2.3,3.3,0.8,0.2,0.4,0.4,1,3.4,"Chicago Bulls",525093,6.53856
"219","Kyle Singler",387,"SF",27,"OKC",68,2,14.4,1.3,3.3,0.389,0.4,1.4,0.309,0.8,1.8,0.452,0.457,0.4,0.6,0.659,0.7,1.3,2.1,0.4,0.4,0.1,0.5,1.8,3.4,"Oklahoma City Thunder",4500000,4.26838
"317","Ryan Hollins",386,"C",31,"TOT",37,12,12.4,1.3,2.1,0.62,0,0,0.293816618911175,1.3,2.1,0.62,0.62,0.7,1.1,0.619,1.3,1.4,2.6,0.3,0.2,0.6,0.6,1.7,3.4,"Memphis Grizzlies",239605,6.3302
"293","Phil Pressey",391,"PG",24,"TOT",23,0,12.3,1.3,3.4,0.385,0.2,0.8,0.222,1.1,2.6,0.433,0.41,0.6,1.1,0.52,0.1,1.2,1.3,3.3,0.8,0.2,1.4,1.2,3.3,"Phoenix Suns",55722,4.8913
"302","Reggie Bullock",388,"SF",24,"DET",37,0,11.6,1.2,2.6,0.439,0.6,1.4,0.415,0.6,1.2,0.467,0.551,0.4,0.4,0.933,0.4,1.5,1.8,0.7,0.3,0.1,0.2,0.8,3.3,"Detroit Pistons",1252440,5.28409
"203","Kevin Garnett",392,"PF",39,"MIN",38,38,14.6,1.4,3,0.47,0,0,0,1.4,3,0.474,0.47,0.4,0.6,0.667,0.4,3.6,3.9,1.6,0.7,0.3,0.4,1.8,3.2,"Minnesota Timberwolves",8500000,6.6364
"152","Jason Thompson",394,"C",29,"TOT",47,7,10,1.1,2.3,0.481,0.1,0.3,0.333,1,2,0.505,0.505,0.8,1.1,0.704,0.7,2.2,2.9,0.6,0.3,0.4,0.3,1.7,3.1,"Toronto Raptors",245177,5.4641
"299","Rashad Vaughn",395,"SG",19,"MIL",70,6,14.3,1.2,3.8,0.305,0.6,2.1,0.293,0.5,1.7,0.319,0.385,0.2,0.2,0.8,0.2,1.1,1.3,0.6,0.4,0.2,0.4,1,3.1,"Milwaukee Bucks",1733040,3.2802
"209","Kirk Hinrich",397,"PG",35,"TOT",46,7,13.7,1.1,2.8,0.38,0.5,1.3,0.387,0.5,1.5,0.373,0.473,0.3,0.3,0.938,0.2,1.3,1.5,1.6,0.3,0,0.7,1.4,3,"Chicago Bulls",2854940,4.22862
"344","Thanasis Antetokounmpo",396,"SF",23,"NYK",2,0,3,1.5,2,0.75,0,0.5,0,1.5,1.5,1,0.75,0,0,0.747632707774799,0,0.5,0.5,0,0,0,0,1,3,"New York Knicks",30888,4.5
"7","Alan Williams",403,"PF",23,"PHO",10,0,6.8,1,2.4,0.417,0,0,0.293816618911175,1,2.4,0.417,0.417,0.9,1.4,0.643,1.4,2.4,3.8,0.5,0.4,0.5,0.6,1.5,2.9,"Phoenix Suns",83397,4.69125
"62","Chris Johnson",400,"SF",25,"UTA",70,2,12.2,1,2.8,0.371,0.4,1.4,0.273,0.6,1.4,0.474,0.441,0.5,0.6,0.81,0.4,1.5,1.9,0.6,0.5,0.3,0.6,1.4,2.9,"Utah Jazz",981348,3.93372
"20","Andrew Goudelock",404,"PG",27,"HOU",8,0,6.3,1.1,2.5,0.45,0.1,1.1,0.111,1,1.4,0.727,0.475,0.4,0.5,0.75,0.1,0.1,0.3,0.5,0.8,0.3,0.9,0.5,2.8,"Houston Rockets",200600,3.19675
"63","Chris Kaman",407,"C",33,"POR",16,2,7,1.3,2.7,0.465,0.1,0.3,0.25,1.2,2.4,0.487,0.477,0.2,0.2,1,0.4,1.1,1.5,0.7,0.1,0.1,0.5,0.9,2.8,"Portland Trail Blazers",5016000,3.52503
"71","Cory Jefferson",406,"PF",25,"PHO",8,0,6.3,1.1,2.8,0.409,0,0.1,0,1.1,2.6,0.429,0.409,0.5,0.8,0.667,0.8,1.3,2,0,0,0.1,0,1,2.8,"Phoenix Suns",49709,3.12476
"184","Josh Huestis",405,"PF",24,"OKC",5,0,11,1,2.4,0.417,0.8,1.2,0.667,0.2,1.2,0.167,0.583,0,0.8,0,0.4,1.6,2,0,0.2,0.4,0.6,0.6,2.8,"Oklahoma City Thunder",1140240,4.40748
"101","Drew Gooden",411,"PF",34,"WAS",30,0,10.2,1.1,3.4,0.32,0.2,1.4,0.171,0.9,2.1,0.419,0.354,0.3,0.5,0.643,0.9,1.9,2.8,0.4,0.3,0.4,0.4,1.3,2.7,"Washington Wizards",3300000,3.363
"294","R.J. Hunter",412,"SG",22,"BOS",36,0,8.8,1,2.7,0.367,0.5,1.8,0.302,0.5,1,0.486,0.464,0.2,0.2,0.857,0.1,1,1,0.4,0.4,0.1,0.3,0.8,2.7,"Boston Celtics",1148640,3.30368
"13","Anderson Varejao",415,"C",33,"TOT",53,0,9.4,1,2.3,0.427,0,0,0,1,2.3,0.431,0.427,0.6,0.9,0.64,0.7,2,2.7,0.7,0.3,0.2,0.4,1.3,2.6,"Golden State Warriors",289755,3.94975
"213","Kostas Papanikolaou",414,"SF",25,"DEN",26,6,11.3,0.9,2.5,0.364,0.4,1.2,0.313,0.5,1.3,0.412,0.439,0.3,0.5,0.643,0.3,1.2,1.5,0.6,0.5,0.2,0.8,0.9,2.6,"Denver Nuggets",800321,3.22226
"4","Adreian Payne",418,"PF",24,"MIN",52,2,9.3,1,2.8,0.366,0.2,0.6,0.281,0.8,2.2,0.389,0.397,0.3,0.5,0.654,0.4,1.8,2.1,0.6,0.3,0.2,0.7,1.5,2.5,"Minnesota Timberwolves",1938840,3.04102
"229","Lorenzo Brown",417,"PG",25,"PHO",8,0,7.6,1,3.1,0.32,0.1,1,0.125,0.9,2.1,0.412,0.34,0.4,0.5,0.75,0,0.9,0.9,1.4,0.4,0.1,1.1,0.5,2.5,"Phoenix Suns",111444,2.278
"285","Pablo Prigioni",420,"PG",38,"LAC",59,3,13.9,0.9,2.5,0.374,0.5,1.6,0.295,0.5,0.9,0.519,0.469,0.1,0.1,0.875,0.6,1.3,1.9,2.2,0.9,0,0.8,1.4,2.5,"LA Clippers",947726,4.89636
"330","Sonny Weems",421,"SG",29,"TOT",43,0,11.6,1,2.6,0.382,0.3,1,0.366,0.6,1.6,0.391,0.45,0.2,0.3,0.533,0.2,1.1,1.2,1.1,0.2,0,1,1.1,2.5,"Phoenix Suns",2814000,2.7855
"148","Jarell Eddie",422,"SF",24,"WAS",26,0,5.7,0.8,2.5,0.308,0.6,1.8,0.319,0.2,0.7,0.278,0.423,0.3,0.3,1,0.1,0.8,0.9,0.2,0.2,0,0,0.2,2.4,"Washington Wizards",561716,2.5803
"158","Jeremy Evans",423,"SF",28,"DAL",30,2,8.4,0.9,1.6,0.542,0.1,0.5,0.25,0.7,1.1,0.688,0.583,0.5,0.7,0.714,0.4,1.4,1.8,0.1,0.2,0.3,0.2,0.6,2.4,"Dallas Mavericks",1100602,4.23841
"192","K.J. McDaniels",426,"SF",22,"HOU",37,1,6.4,0.8,1.9,0.403,0.2,0.7,0.28,0.6,1.3,0.468,0.451,0.6,0.8,0.8,0.4,0.7,1.1,0.3,0.2,0.2,0.5,0.8,2.4,"Houston Rockets",3189794,2.70149
"323","Sergey Karasev",425,"SF",22,"BRK",40,5,10,0.8,1.9,0.405,0.3,0.9,0.297,0.5,0.9,0.514,0.48,0.7,0.7,0.929,0.2,1.3,1.5,0.9,0.2,0.1,0.6,0.7,2.4,"Brooklyn Nets",1599840,3.3552
"336","Steve Novak",427,"PF",32,"TOT",10,0,4.4,0.8,1.8,0.444,0.7,1.5,0.467,0.1,0.3,0.333,0.639,0.1,0.1,1,0,0.5,0.5,0,0,0,0.1,0.3,2.4,"Oklahoma City Thunder",295327,3.02886
"364","Tyler Hansbrough",424,"PF",30,"CHO",44,0,7.8,0.7,1.6,0.451,0,0.1,0.667,0.7,1.5,0.441,0.465,0.9,1.5,0.585,0.9,1.1,2,0.2,0.3,0.2,0.3,1.3,2.4,"Charlotte Hornets",947276,3.4782
"77","Damjan Rudez",430,"SF",29,"MIN",33,0,8.4,0.8,1.9,0.403,0.5,1.5,0.34,0.2,0.4,0.667,0.54,0.2,0.2,1,0.2,0.5,0.6,0.3,0.1,0,0.4,1,2.3,"Minnesota Timberwolves",1149500,2.5866
"372","Walter Tavares",431,"C",23,"ATL",11,0,6.6,1,1.7,0.579,0,0,0.293816618911175,1,1.7,0.579,0.579,0.3,0.7,0.375,0.6,1.3,1.9,0.3,0.1,0.5,0.5,0.7,2.3,"Atlanta Hawks",1000000,4.15143
"231","Lucas Nogueira",432,"C",23,"TOR",29,1,7.8,1,1.5,0.636,0,0.1,0.333,0.9,1.4,0.659,0.648,0.3,0.5,0.533,0.6,1,1.6,0.2,0.4,0.4,0.4,1,2.2,"Toronto Raptors",1842000,4.57488
"61","Chris Copeland",435,"PF",31,"MIL",24,1,6.5,0.7,2.1,0.333,0.4,1.5,0.278,0.3,0.6,0.467,0.431,0.3,0.3,0.857,0,0.4,0.4,0.5,0.1,0,0.3,0.7,2.1,"Milwaukee Bucks",1150000,2.01277
"86","DeJuan Blair",433,"C",26,"WAS",29,0,7.5,1,2.3,0.412,0,0,0,1,2.3,0.418,0.412,0.2,0.4,0.385,0.7,1.3,2,0.4,0.3,0.1,0.5,1.8,2.1,"Washington Wizards",2000000,2.75216
"269","Nick Collison",434,"PF",35,"OKC",59,4,11.8,0.8,1.8,0.459,0,0,0,0.8,1.8,0.467,0.459,0.4,0.6,0.697,1.2,1.7,2.9,0.9,0.3,0.3,0.8,1.8,2.1,"Oklahoma City Thunder",3750000,3.84183
"347","Tibor Pleiss",439,"C",26,"UTA",12,0,6.8,0.9,2.1,0.44,0,0.2,0,0.9,1.9,0.478,0.44,0.2,0.2,1,0.5,0.8,1.3,0.2,0.1,0.2,0.7,1.6,2,"Utah Jazz",2900000,2.112
"76","Damien Inglis",445,"SF",20,"MIL",20,1,7.8,0.7,1.9,0.351,0.2,0.7,0.231,0.5,1.2,0.417,0.392,0.4,0.4,0.875,0.1,1.5,1.6,0.5,0.3,0.2,0.6,0.6,1.8,"Milwaukee Bucks",855000,2.28536
"106","Elijah Millsap",447,"SG",28,"UTA",20,0,8.7,0.6,2,0.282,0.1,0.6,0.083,0.5,1.4,0.37,0.295,0.7,0.9,0.722,0.3,1.5,1.8,1,0.4,0.2,0.5,1.7,1.8,"Utah Jazz",845059,2.124
"153","Jeff Ayres",442,"C",28,"LAC",17,0,6.3,0.7,1.4,0.522,0,0.1,0,0.7,1.3,0.545,0.522,0.4,0.4,1,0.2,1.1,1.3,0.3,0,0.2,0.4,1.1,1.8,"LA Clippers",111444,2.57346
"182","Jorge Gutierrez",444,"PG",27,"CHO",12,0,5.3,0.5,0.9,0.545,0,0.2,0,0.5,0.8,0.667,0.545,0.8,0.9,0.909,0,0.6,0.6,1.4,0.3,0,0.5,0.3,1.8,"Charlotte Hornets",189455,3.1392
"207","Kevon Looney",446,"PF",19,"GSW",5,0,4.2,0.8,1.4,0.571,0.2,0.4,0.5,0.6,1,0.6,0.643,0,0,0.747632707774799,0.8,1.2,2,0,0,0,0.2,0.4,1.8,"Golden State Warriors",1131960,3.39504
"230","Lou Amundson",441,"PF",33,"NYK",29,0,7,0.7,1.8,0.358,0,0,0.293816618911175,0.7,1.8,0.358,0.358,0.5,0.9,0.519,0.8,0.9,1.7,0.4,0.2,0.2,0.5,1.5,1.8,"New York Knicks",1635476,2.06924
"341","Terry Rozier",448,"PG",21,"BOS",39,0,8,0.7,2.7,0.274,0.2,0.7,0.222,0.6,2,0.291,0.302,0.2,0.3,0.8,0.6,1,1.6,0.9,0.2,0,0.5,0.6,1.8,"Boston Celtics",1824360,1.81502
"107","Elliot Williams",452,"PG",26,"MEM",5,0,9,0.4,2,0.2,0.2,0.8,0.25,0.2,1.2,0.167,0.25,0.6,0.8,0.75,0.2,0.6,0.8,0.8,0,0,0.2,0.4,1.6,"Memphis Grizzlies",55722,1.17
"265","Nazr Mohammed",450,"C",38,"OKC",5,0,3.8,0.6,1,0.6,0,0,0.293816618911175,0.6,1,0.6,0.6,0.4,0.4,1,0.2,0.6,0.8,0,0,0,0.6,0.8,1.6,"Oklahoma City Thunder",222888,1.656
"162","Jimmer Fredette",454,"SG",26,"TOT",6,0,3,0.3,0.8,0.4,0.2,0.3,0.5,0.2,0.5,0.333,0.5,0.7,0.8,0.8,0,0,0,0.2,0.2,0,0.3,0.3,1.5,"New York Knicks",874837,1.43
"315","Russ Smith",455,"PG",24,"MEM",15,0,4.4,0.5,1.5,0.318,0.1,0.3,0.2,0.4,1.1,0.353,0.341,0.5,0.9,0.615,0.1,0.5,0.6,0.7,0.3,0.1,0.5,0.3,1.5,"Memphis Grizzlies",845059,1.49017
"112","Erick Green",456,"PG",24,"TOT",9,0,4.7,0.6,1.4,0.385,0.1,0.6,0.2,0.4,0.9,0.5,0.423,0.2,0.2,1,0.3,0.3,0.7,0.3,0.1,0,0,0.4,1.4,"Utah Jazz",99418,1.69623
"181","Jordan Mickey",459,"PF",21,"BOS",16,0,3.6,0.5,1.4,0.364,0,0,0.293816618911175,0.5,1.4,0.364,0.364,0.3,0.6,0.5,0.4,0.4,0.8,0.1,0,0.7,0.1,0.3,1.3,"Boston Celtics",1170960,1.69988
"260","Mitch McGary",458,"PF",23,"OKC",20,0,3.6,0.6,1.2,0.478,0,0.2,0,0.6,1,0.579,0.478,0.2,0.5,0.4,0.2,0.7,0.9,0.2,0.1,0.1,0.4,0.5,1.3,"Oklahoma City Thunder",1463040,1.6252
"195","Keith Appling",461,"PG",23,"ORL",5,0,5.4,0.4,1.6,0.25,0,0.6,0,0.4,1,0.4,0.25,0.4,0.4,1,0,0.2,0.2,0.2,0.2,0,0.6,1,1.2,"Orlando Magic",61776,0.505
"232","Luis Montero",462,"SG",22,"POR",12,0,3.5,0.4,1.6,0.263,0.1,0.8,0.111,0.3,0.8,0.4,0.289,0.3,0.3,0.75,0,0.3,0.3,0.1,0,0,0.3,0.1,1.2,"Portland Trail Blazers",525093,0.61557
"286","Pat Connaughton",463,"SG",23,"POR",34,0,4.2,0.4,1.4,0.265,0.1,0.6,0.238,0.2,0.8,0.286,0.316,0.1,0.1,1,0.3,0.6,0.9,0.3,0.1,0,0.3,0.2,1.1,"Portland Trail Blazers",625093,1.00172
"47","Bryce Cotton",464,"PG",23,"TOT",8,0,4.9,0.5,1.3,0.4,0,0.4,0,0.5,0.9,0.571,0.4,0,0,0.747632707774799,0,0,0,0.4,0.4,0,0.6,0.3,1,"Memphis Grizzlies",700902,0.848
"144","James Young",467,"SG",20,"BOS",29,0,6.9,0.4,1.2,0.306,0.2,0.9,0.231,0.2,0.3,0.5,0.389,0,0.1,0.25,0.1,0.8,0.9,0.3,0.2,0,0.2,0.6,1,"Boston Celtics",1749840,1.31093
"3","Aaron Harrison",469,"SG",21,"CHO",21,0,4.4,0.2,0.9,0.263,0.1,0.5,0.3,0.1,0.4,0.222,0.342,0.2,0.6,0.417,0.2,0.5,0.7,0.1,0.3,0,0.2,0.5,0.9,"Charlotte Hornets",525093,0.9747
"169","Joel Anthony",468,"C",33,"DET",19,0,5.1,0.3,0.5,0.6,0,0,0.293816618911175,0.3,0.5,0.6,0.6,0.3,0.4,0.75,0.4,0.7,1.1,0.1,0.1,0.6,0.1,0.8,0.9,"Detroit Pistons",2500000,2.586
"320","Sasha Kaun",470,"C",30,"CLE",25,0,3.8,0.4,0.7,0.529,0,0,0.293816618911175,0.4,0.7,0.529,0.529,0.2,0.4,0.455,0.5,0.6,1,0.1,0.2,0.2,0.3,0.4,0.9,"Cleveland Cavaliers",1276000,1.70867
"46","Bruno Caboclo",473,"SF",20,"TOR",6,1,7.2,0.2,2,0.083,0.2,1.2,0.143,0,0.8,0,0.125,0,0,0.747632707774799,0.2,0.2,0.3,0.2,0.3,0.2,0.7,0.3,0.5,"Toronto Raptors",1524000,0.1625
"319","Sam Dekker",474,"SF",21,"HOU",3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0,0,0,"Houston Rockets",1646400,0
